from,to,relation,year
insc,jbpr,2,2001
insc,msbs,2,2022
insc,mss,2,2011
insc,neueleben,1,2006
insc,pfda,2,2012
insc,plb,2,2007
insc,plh,2,2021
insc,pwp,2,2006
insc,rlp,2,2017
insc,sblp,2,2008
insc,thp,2,2007
insc,webp,2,2019
irha,hfp,2,2006
irha,hhp,2,2020
irha,peu,2,2010
irha,plb,2,2021
irha,pltn,2,2011
irha,treffen,1,2008
irha,vms,2,2017
jabr,asbs,2,2005
jabr,asdlf,2,2012
jabr,asln,2,2010
jabr,gegenwelt,1,2011
jabr,iss,2,2014
jabr,lppb,2,2001
jabr,lslo,2,2020
jabr,sls,2,2015
jabr,sva,2,2014
jafa,adp,2,2005
jafa,cp,2,2010
jafa,isp,2,2018
jafa,kp,2,1993
jafa,sorgen,1,2010
jafa,trottel,1,2022
jahr,jung,3,2016
jakob,hanser,3,2021
jath,brueder,1,2019
jath,fplpfs,2,2021
jeer,ebp,2,2013
jeer,epn,2,2014
jeer,gedok,2,2004
jeer,gehen,1,2015
jeer,hfp,2,2014
jeer,hkp,2,2008
jeer,hvdp,2,2008
jeer,ibp,2,2001
jeer,iffp,2,2015
jeer,jbpr,2,2013
jeer,pltn,2,2009
jeer,pse,2,2010
jeer,shp,2,2023
jeer,slp,2,2013
jeer,stp,2,2008
jeer,tvp,2,2013
jeer,ujp,2,2022
jeer,up,2,2019
jeer,verdip,2,2013
jufr,ads,2,1998
jufr,asbs,2,2000
jufr,bom,2,1995
jufr,ibp,2,2000
jufr,mittagsfrau,4,2007
jufr,mlkp,2,2004
jufr,roswp,2,2005
jufr,sgp,2,2022
jufr,sskb,2,1998
jufr,ssn,2,1999
jufr,vms,2,2005
juza,dinge,1,2010
juza,nrp,2,2021
juza,ujp,2,2011
kaha,ddp,2,2006
kaha,drp,2,2021
kaha,habenichtse,4,2006
kaha,sap,2,2010
kaha,ssb,2,2005
kala,adp,2,1995
kala,chhs,2,2009
kala,ggp,2,2017
kala,gsp,2,2008
kala,ibp,2,1986
kala,klp,2,2013
kala,kpgh,2,2005
kala,mss,2,2002
kala,pswr,2,2001
kala,roswp,2,2002
kala,schafe,1,2007
kala,ssb,2,1989
kala,ssrb,2,2001
kala,vms,2,2012
kasc,asdlf,2,1994
kasc,asdlf,2,1998
kasc,asdlf,2,2000
kasc,asdlf,2,2012
kasc,aspreis,2,1988
kasc,clp,2,2016
kasc,drp,2,2003
kasc,gedok,2,1998
kasc,hvdp,2,1998
kasc,hvdp,2,1998
stirbst,kiepenheuer,3,2009
kasc,kpllb,2,2005
kasc,lkp,2,1998
kasc,nsilafp,2,2011
kasc,pse,2,2011
kasc,pswr,2,2009
kasc,ssd,2,2021
kasc,stirbst,4,2009
kasc,thp,2,2013
kasc,verdip,2,2018
kasc,vms,2,2010
katze,frankfurter,3,2018
kieferninseln,ksp,2,2018
kieferninseln,suhrkamp,3,2017
kiho,blutbuch,4,2022
kintsugi,ap,2,2019
kintsugi,fischer,3,2019
kintsugi,pjps,2,2019
koffer,kiepenheuer,3,2018
krbi,ftp,2,2015
krbi,hfpl,2,2013
krbi,kmkp,2,2015
krbi,nebenan,1,2022
kruso,mklp,2,2020
kruso,suhrkamp,3,2014
kruso,ujp,2,2014
land,klett,3,2019
land,pdsf,2,2020
landgericht,gsp,2,2015
landgericht,jung,3,2012
licht,adp,2,2009
licht,ap,2,2011
licht,rowohlt,3,2011
lichtjahre,fischer,3,2014
liebling,suhrkamp,3,2005
luse,aspreis,2,2002
luse,cwp,2,2012
luse,dep,2,2010
luse,empl,2,2003
luse,ibp,2,2007
luse,kp,2,1999
luse,kruso,4,2014
luse,mlkp,2,2014
luse,nrp,2,2010
luse,plb,2,2020
luse,psb,2,2004
luse,pswr,2,2005
luse,rmp,2,2012
luse,sva,2,2003
luse,vms,2,2011
luse,thp,2,2017
mabi,koffer,1,2018
mabi,ospr,2,1996
mabi,pef,2,1996
mabi,tp,2,1994
mabi,twp,2,1999
mabi,wlp,2,2012
maceba,acfp,2,2009
maceba,ap,2,2008
maceba,bwp,2,2009
maceba,nachtleuchten,1,2018
maceba,sva,2,2010
maceba,vms,2,2013
maedchen,kiepenheuer,3,2011
mamo,gbp,2,2007
mamo,gpba,2,2006
mamo,hvdp,2,1999
mamo,klp,2,2002
mamo,kp,2,2005
mamo,mond,1,2007
mamo,pjps,2,1980
mamo,pkas,2,2013
mamo,spl,2,2003
mamo,vms,2,2014
mapo,ads,2,2002
mapo,asbs,2,2011
mapo,asdlf,2,2007
mapo,asdlf,2,2012
mapo,askl,2,2003
mapo,blp,2,2018
mapo,chhs,2,2019
mapo,ddp,2,2017
mapo,dpnw,2,2017
mapo,fpnrw,2,2007
mapo,henp,2,2005
mapo,kieferninseln,1,2017
mapo,kpllb,2,2009
mapo,lfpsm,2,2006
mapo,lkas,2,2009
mapo,lskw,2,2007
mapo,php,2,2011
mapo,pr,2,2005
mapo,psb,2,2021
mapo,shhh,2,2006
mapo,ske,2,2009
mapo,skvc,2,2006
mapo,sonnenposition,1,2013
mapo,ssb,2,2022
mapo,sskb,2,2000
mapo,ssrb,2,2010
mapo,vms,2,2004
mapo,wp,2,2021
mapo,wwfp,2,2003
mast,drp,2,2009
mast,fnp,2,2015
mast,fpowp,2,1996
mast,fpsw,2,2001
mast,hhp,2,2001
mast,mcp,2,1997
mast,plh,2,2020
mast,prp,2,2008
mast,schmerzmacherin,1,2011
mast,whp,2,2002
mawa,alp,2,2002
mawa,angstbluete,1,2006
mawa,bslp,2,1967
mawa,czm,2,1990
mawa,fhp,2,1996
mawa,fnp,2,1993
mawa,fpdb,2,1998
mawa,fsp,2,1992
mawa,gbp,2,1981
mawa,ghp,2,1962
mawa,gpba,2,1990
mawa,hhp,2,1957
mawa,jcp,2,2002
mawa,okp,2,2005
mawa,rihp,2,1990
mawa,sgp,2,1965
mawa,sgp,2,1980
mawa,whm,2,1997
meab,efp,2,2022
meab,hegap,2,2001
meab,lwsz,2,2010
meab,slcb,2,2000
meab,spzk,2,2018
meab,tauben,4,2010
meab,wcvs,2,2001
meab,wmcds,2,1998
medusa,bbp,2,2017
medusa,zsolnay,3,2017
mibo,empl,2,2008
mibo,ewp,2,2002
mibo,fplakb,2,2004
mibo,hamp,2,2020
mibo,skvc,2,2017
mibo,mlkp,2,2010
mibo,nacht,1,2013
mibo,prelay,2,2008
mibo,rmp,2,2014
mibo,nydl,2,2007
mibo,wwfp,2,2001
mibu,bwpr,2,2010
mibu,grp,2,2014
mibu,msfp,2,1995
mibu,ppl,2,2000
mibu,ske,2,1993
mibu,ttp,2,1995
mibu,wunsiedel,1,2011
miko,abendland,1,2007
miko,awp,2,1996
miko,ddp,2,2015
miko,gp,2,1997
miko,jphp,2,1988
miko,mlkp,2,2017
miko,msp,2,1993
miko,okjp,2,2011
miko,owpl,2,2007
miko,pkas,2,2017
miko,pltn,2,2015
miko,pvbm,2,2001
miko,rp,2,1974
miko,rp,2,1983
miko,trp,2,2014
miko,whp,2,2014
misa,identitti,1,2021
misoku,ads,2,2021
misoku,kintsugi,1,2019
mittagsfrau,fischer,3,2007
mohe,ossl,2,1980
mohe,vost,2,1989
mohe,jbp,2,2012
mohe,jphp,2,2021
mohe,okjp,2,2003
mohe,okjp,2,2011
mohe,owpl,2,1997
mohe,slp,2,2021
mohe,stp,2,2020
mohe,vati,1,2021
mond,hanser,3,2007
mosc,eins,1,2015
mosc,fpss,2,2006
mosc,mp,2,2013
mosc,pmcds,2,2005
mosc,rhp,2,2011
mosc,rwp,2,2006
moze,ordnung,1,2013
mutter,kiepenheuer,3,2022
nacht,schoeffling,3,2013
nachtleuchten,adp,2,2017
nachtleuchten,cph,2,2019
nachtleuchten,fischer,3,2018
nebenan,hamp,2,2021
nebenan,luchterhand,3,2022
neueleben,berlin,3,2006
nichtwieihr,fbp,2,2020
nichtwieihr,kremayr,3,2019
niha,acfp,2,2010
niha,aspreis,2,2015
niha,bblp,2,2018
niha,czm,2,2023
niha,dpb,2,2011
niha,ggs,2,2012
niha,hkp,2,2017
niha,hp,2,2011
niha,katze,1,2018
niha,kp,2,2011
niha,pkdw,2,2015
niha,sgp,2,2019
niha,slph,2,2017
niha,sp ,2,2018
nogs,adp,2,1999
nogs,awp,2,2013
nogs,blp,2,1994
nogs,fbp,2,1989
nogs,ddp,2,2021
nogs,fnp,2,2004
nogs,fpfhp,2,1994
nogs,ibp,2,1989
nogs,jakob,1,2021
nogs,obp,2,2019
nogs,pkas,2,2001
nogs,rp,2,1989
nogs,tmp,2,2021
nogs,ujp,2,2003
nosc,asnrw,2,1986
nosc,ddp,2,2010
nosc,eilp,2,2001
nosc,gkgp,2,2006
nosc,hkpreis,2,2019
nosc,ibp,2,2006
nosc,klpr,2,2000
nosc,kpke,2,1993
nosc,msfl,2,2000
nosc,msfp,2,2003
nosc,rauschen,1,2009
nosc,spbj,2,2002
nosc,winterbienen,1,2019
ordnung,blumenbar,3,2013
panischer,suhrkamp,3,2014
pewa,ads,2,2003
pewa,ads,2,2021
pewa,asdlf,2,1993
pewa,bsibp,2,1991
pewa,dkp,2,1991
pewa,rabenliebe,1,2010
pewa,ssd,2,2016
pewa,ssj,2,2012
pewa,ssk,2,2011
pewa,ssm,2,2015
pewa,vms,2,2019
pfauen,kiepenheuer,3,2014
pfauen,wrp,2,2014
phwi,hool,1,2016
phwi,jhcp,2,2008
rabenliebe,galiani,3,2010
rabenliebe,ibp,2,2010
raed,asdlf,2,2017
raed,ibp,2,2018
raed,land,1,2019
raed,msbs,2,2021
raed,obp,2,2021
raed,tjp,2,2022
raed,tkp,2,2019
rame,efp,2,2013
rame,lichtjahre,1,2009
rame,pjps,2,2001
rame,skvc,2,2002
rame,slcb,2,1999
rame,sva,2,2003
rauschen,beck,3,2009
rauschen,pswr,2,2009
reji,sks,2,1997
reji,asdlf,2,2002
reji,ske,2,2007
reji,ads,2,1996
reji,adp,2,1993
reji,blp,2,1998
reji,dpnl,2,2004
reji,egds,2,2004
reji,erden,1,2013
reji,gbp,2,2010
reji,gp,2,2009
reji,jbm,2,1998
reji,jbpr,2,1999
reji,kp,2,2003
reji,lfp,2,2009
reji,mbp,2,1994
reji,psb,2,2005
reji,rlp,2,2003
reji,sdkp,2,2011
reji,ssb,2,2008
reka,bbp,2,2022
reka,bp,2,2009
reka,fremde,1,2016
reka,kpb,2,2013
reka,oaa,2,2013
reka,pjps,2,2007
reka,pkdw,2,2014
reka,poi,2,2020
reka,pws,2,2022
robinsons,beck,3,2012
rola,gl,2,2013
rola,kjp,2,2013
rola,schwimmen,1,2008
rola,spss,2,1994
rola,winter,1,2015
rome,bkp,2,2022
rome,czm,2,2019
rome,ecsw,2,1992
rome,fhp,2,2002
rome,fpowp,2,1995
rome,fpsw,2,1989
rome,gp,2,1999
rome,hauptstadt,4,2017
rome,hbpr,2,1996
rome,henp,2,1992
rome,hmp,2,2013
rome,hvdp,2,1991
rome,jbpr,2,2002
rome,lfp,2,2002
rome,mbp,2,1994
rome,mfpr,2,2014
rome,mlkp,2,2002
rome,osp,2,1998
rome,pldlf,2,2019
rome,ssbmu,2,1987
rome,ssbmu,2,1990
rome,whp,2,2018
romeo,berlin,3,2017
samasa,asbs,2,2014
samasa,außersich,1,2017
samasa,hhp,2,2022
samasa,kpb,2,2020
samasa,plh,2,2022
samasa,sllw,2,2002
sand,plb,2,2012
sand,rowohlt,3,2012
sast,acp,2,2008
sast,adp,2,2013
sast,elp,2,2021
sast,fhvdp,2,2008
sast,grammofon,1,2006
sast,herkunft,4,2019
sast,hlp,2,2013
sast,ibp,2,2005
sast,plb,2,2014
sast,rlp,2,2016
sast,slp,2,2017
sast,spsm,2,2021
sast,ssg,2,2006
sast,ssmh,2,2013
sast,whlp,2,2020
schafe,kiepenheuer,3,2007
schafe,pltn,2,2008
schafe,wrp,2,2008
schiff,jung,3,2008
schmerzmacherin,fbp,2,2012
schmerzmacherin,fischer,3,2011
schwimmen,hanser,3,2008
schwimmen,schbp,2,2008
september,hanser,3,2010
serpentinen,claassen,3,2020
serpentinen,dfp,2,2018
shfa,acp,2,2015
shfa,ap,2,2001
shfa,dkp,2,2002
shfa,egds,2,2020
shfa,hdpl,2,2007
shfa,kpb,2,2015
shfa,schiff,1,2008
shfa,ssb,2,2016
sile,blp,2,2010
sile,blumenberg,1,2011
sile,gbp,2,2013
sile,ibp,2,1998
sile,klp,2,2011
sile,kp,2,2006
sile,mfp,2,2011
sile,mlkp,2,2008
sile,plb,2,2009
sile,plh,2,2007
sile,rihp,2,2011
sile,skvc,2,2011
sile,spl,2,2009
sile,vms,2,2013
skizze,rowohlt,3,2016
sonne,hanser,3,2017
sonne,psb,2,2018
sonnenposition,lcpp,2,2013
sonnenposition,suhrkamp,3,2013
sonnenposition,wrp,2,2013
sorgen,kiepenheuer,3,2010
sosindwir,berlin,3,2005
spitzweg,piper,3,2022
stein,fischer,3,2013
stein,psb,2,2013
streulicht,ap,2,2020
streulicht,pjps,2,2020
streulicht,suhrkamp,3,2020
stth,barbaren,1,2018
stth,fliehkraefte,1,2012
stth,ggs,2,2005
stth,gkp ,2,2014
stth,grenzgang,1,2009
stth,kpb,2,2014
stth,les,2,2008
suro,aspe,2,2005
suro,bkfp,2,1989
suro,gfp,2,1988
suro,mcp,2,1998
suro,sksw,2,1994
suro,tp,2,1999
suro,vogelgott,1,2018
tauben,jung,3,2010
tauben,schbp,2,2010
temo,acfp,2,2000
temo,acp,2,2010
temo,efp,2,2010
temo,fnp,2,2007
temo,fplakb,2,2004
temo,ibp,2,1999
temo,iss,2,2001
temo,jsp,2,2002
temo,mcp,2,2004
temo,omp,2,1997
temo,plb,2,2004
temo,plh,2,2017
temo,pltn,2,2005
temo,psb,2,2017
temo,roswp,2,2018
temo,sblp,2,2022
temo,stp,2,2017
temo,ungeheuer,4,2013
temo,upks,2,2011
temo,wlp,2,1997
thgl,dasbindochich,1,2007
thgl,ecsw,2,2002
thgl,fgp,2,2002
thgl,fob,2,2001
thgl,oaa,2,2006
thgl,ossl,2,2002
thgl,pkdw,2,2010
thgl,ppw,2,2007
thgl,sess,2,2014
thhe,sva,2,2004
thhe,iss,2,2005
thhe,sall,2,2017
thhe,ske,2,2019
thhe,bbp,2,2014
thhe,ibp,2,1989
thhe,slcb,2,1989
thhe,ssso,2,1993
thhe,rpvms,2,1996
thhe,ddp,2,2013
thhe,svdk,2,1999
thhe,herzfaden,1,2020
thhe,htp,2,1988
thhe,jbp,2,2019
thhe,pfauen,1,2014
thhe,pgc,2,2005
thhe,rp,2,1990
thhe,rwp,2,1990
thhe,spl,2,2001
thhe,stp,2,2015
thhe,wkp,2,2016
thhe,worauswir,1,2006
thku,vms,2,2003
thku,skla,2,2010
thku,wbp,2,2018
thku,zandschower,1,2021
thle,blp,2,2011
thle,fpbj,2,1993
thle,fpbj,2,1999
thle,fpbj,2,2001
thle,fplakb,2,1996
thle,gkgp,2,2002
thle,jbpr,2,2015
thle,kp,2,2018
thle,mcp,2,1994
thle,mlkp,2,2012
thle,msfp,2,1999
thle,ppl,2,1996
thle,ppl,2,2010
thle,rlp,2,1999
thle,rp,2,1994
thle,september,1,2010
thle,sonne,1,2017
thle,spl,2,2018
thle,ssb,2,2011
thle,wkp,2,2000
thle,zweiundvierzig,1,2005
thme,egds,2,2018
thme,euro,1,2014
thme,fbp,2,2008
thme,fhpreis,2,2011
thme,fpnrw,2,2009
thme,kpb,2,2015
thme,ssb,2,2017
thme,welt,1,2016
thst,asdlf,2,2007
thst,bkfp,2,2007
thst,cap,2,2017
thst,hfjl,2,1996
thst,nydl,2,2010
thst,ppw,2,2018
thst,pse,2,2011
thst,slcb,2,2002
thst,vms,2,2018
thst,wallner,1,2007
tosc,nichtwieihr,1,2019
treffen,droschl,3,2008
trottel,kiepenheuer,3,2022
trottel,wrp,2,2022
turm,pkas,2,2009
turm,suhrkamp,3,2008
turm,ujp,2,2008
ulpe,aspreis,2,1997
ulpe,bessere,1,2015
ulpe,blp,2,1996
ulpe,blp,2,2008
ulpe,cap,2,2013
ulpe,ddp,2,2008
ulpe,gsp,2,2016
ulpe,hbp,2,2011
ulpe,kp,2,2016
ulpe,npk,2,2001
ulpe,psb,2,2003
ulpe,spl,2,2008
ulpe,ssb,2,2009
ulzi,asdlf,2,2011
ulzi,weisses,1,2012
ungeheuer,luchterhand,3,2013
urkr,chhs,2,2006
urkr,ddp,2,2009
urkr,dkp,2,2009
urkr,eilp,2,1994
urkr,elap,2,1997
urkr,jbp,2,2009
urkr,jesp,2,2009
urkr,jpp,2,2019
urkr,kprp,2,2009
urkr,landgericht,4,2012
urkr,msfp,2,1994
urkr,rlp,2,2008
uwte,clp,2,2003
uwte,ibp,2,2004
uwte,kpdf,2,2017
uwte,turm,4,2008
vati,hanser,3,2021
vermessung,gpl,2,2007
vermessung,hvdp,2,2006
vermessung,rowohlt,3,2005
vermessung,wep,2,2007
vogelgott,fhpreis,2,2018
vogelgott,jung,3,2018
vogelgott,tp,2,2018
wallner,ap,2,2007
wallner,frankfurter,3,2007
wallner,pkdw,2,2008
weisses,suhrkamp,3,2012
welt,ksp,2,2017
welt,pswr,2,2016
welt,rowohlt,3,2016
weltensammler,hanser,3,2006
iltr,plb,2,2006
widerfahrnis,frankfurter,3,2016
winter,hanser,3,2015
winterbienen,beck,3,2019
winterbienen,ebp,2,2020
winterbienen,wrp,2,2019
wohe,cbp,2,2011
wohe,dep,2,2008
wohe,djlp,2,2011
wohe,eilp,2,2008
wohe,hfp,2,2012
wohe,pkdw,2,2012
wohe,sand,1,2012
wollt,berlin,3,2015
worauswir,kiepenheuer,3,2006
wunsiedel,wunderhorn,3,2011
zandschower,nop,2,2018
zandschower,suhrkamp,3,2021
zuckerfabrik,fhpreis,2,2021
zuckerfabrik,hanser,3,2020
zweiundvierzig,aufbau,3,2005
zweiundvierzig,kprp,2,2006
grammofon,fbp,2,2007
rauschen,rps,2,2010
rauschen,bsk,2,2010
dake,gpl,2,2007
dake,hvdp,2,2006
dake,wep,2,2007
thle,kprp,2,2006
gelo,ppw,2,2006
gelo,rlp,2,2005
sast,acp,2,2008
