id,name,type,sex,year,genre,thema,herkunft
zandschower,Zandschower Klinken,3,NA,2021,Gegenwartsroman,Familie/Politik/gesellschaftliche Utopien,NA
thku,Thomas Kunst,4,2,NA,NA,NA,Mecklenburg-Vorpommern
kulp,Kurd-Laßwitz-Preis,2,NA,NA,NA,NA,NA
lcpp,Publikumspreis der lit.Cologne,2,NA,NA,NA,NA,NA
identitti,Identitti,3,NA,2021,Gesellschaftsroman/Gegenwartsliteratur,Identität/Herkunft,NA
misa,Mithu Sanyal,4,1,NA,NA,NA,Nordrhein-Westfalen
lfp,Lion-Feuchtwanger-Preis,2,NA,NA,NA,NA,NA
blutbuch,Blutbuch,3,NA,2022,Gesellschaftsroman,Gender,NA
kiho,Kim de l'Horizon,4,3,NA,NA,Gender,Schweiz
dumont,DuMont Buchverlag,1,NA,NA,NA,NA,NA
dschinns,Dschinns,3,NA,2022,Familenroman,Familiengeschichte/Identität/Migration,NA
faay,Fatma Aydemir,4,1,NA,NA,Feminismus,Baden-Wuerttemberg
lfpsm,Literaturförderpreis der Stadt Meersburg,2,NA,NA,NA,NA,NA
lkp,Preis des Landes Kärnten,2,NA,NA,NA,NA,NA
panischer,Panischer Frühling,3,NA,2014,Grossstadtroman,Vergänglichkeit/Identität/Freundschaft,NA
gele,Gertrud Leutenegger,4,1,NA,NA,NA,Schweiz
lpg,Literaturpreis der Stadt Graz,2,NA,NA,NA,NA,NA
lpls,Literaturpreis des Landes Steiermark,2,NA,NA,NA,NA,NA
lppb,Literaturpreis Prenzlauer Berg,2,NA,NA,NA,NA,NA
lpvkj,Literaturpreis des Verbandes Kommunistischer Jugend,2,NA,NA,NA,NA,NA
euro,3000 Euro,3,NA,2014,Liebesroman/Grossstadtroman,Liebe/Soziale Gegenwart,NA
thme,Thomas Melle,4,2,NA,NA,NA,Berlin
lslo,Landgang-Stipendium Literaturhaus Oldenburg,2,NA,NA,NA,NA,NA
allesforscher,Der Allesforscher,3,NA,2014,Gesellschaftsroman,Schicksal/Komödie/Sinnsuche,NA
hest,Heinrich Steinfest,4,2,NA,NA,Krimis,Baden-Wuerttemberg
lwsz,Literatur-Werkjahr der Stadt Zürich,2,NA,NA,NA,NA,NA
erfindung,Die Erfindung der Roten Armee Fraktion durch einen manisch-depressiven Teenager im Sommer 1969,3,NA,2015,Gesellschaftsroman/Entwicklungsroman,Nachkriegszeit/BRD/DDR/Politik/Erwachsenwerden,NA
frwi,Frank Witzel,4,2,NA,NA,NA,Hessen
gehen,Gehen Ging Gegangen,3,NA,2015,Gesellschaftsroman,Migration/Flucht/Asypolitik/Rassismus,NA
jeer,Jenny Erpenbeck,4,1,NA,NA,Migration/Ost-Deutschland,(Ost)Berlin
knaus,Knaus Verlag,1,NA,NA,NA,NA,NA
mbp,Marburger Literaturpreis,2,NA,NA,NA,NA,NA
mcp,Mara-Cassens-Preis,2,NA,NA,NA,NA,NA
mdrp,MDR-Literaturpreis,2,NA,NA,NA,NA,NA
mfp,Marieluise-Fleisser-Preis,2,NA,NA,NA,NA,NA
mfpr,Max-Frisch-Preis,2,NA,NA,NA,NA,NA
fmfpr,Förderpreis des Max-Frisch-Preises,2,NA,NA,NA,NA,NA
mklp,Merck-Kakehashi-Literaturpreis,2,NA,NA,NA,NA,NA
mlkp,Marie-Luise-Kaschnitz-Preis ,2,NA,NA,NA,NA,NA
moep,Moerike-Preis der Stadt Fellbach,2,NA,NA,NA,NA,NA
winter,Über den Winter,3,NA,2015,Familienroman,Schicksal/Identität/Familie,NA
rola,Rolf Lappert,4,2,NA,NA,NA,Schweiz
mp,Manuskripte-Preis des Landes Steiermark,2,NA,NA,NA,NA,NA
mlp,Münchener Literaturpreis,2,NA,NA,NA,NA,NA
wollt,Wie Ihr Wollt,3,NA,2015,Historischer Roman,England/Königsfamilie/Macht/Emanzipation,
inma,Inger-Maria Mahlke,4,1,NA,NA,NA,Berlin
bessere,Das bessere Leben,3,NA,2015,Thriller,Utopie/Macht/Kapitalismus,NA
ulpe,Ulrich Peltzer,4,2,NA,NA,NA,Berlin
msbs,Metropolenschreiberin der Brost-Stiftung,2,NA,NA,NA,NA,NA
msfp,Martha-Saalfeld-Förderpreis,2,NA,NA,NA,NA,NA
msp,Manes-Sperber-Preis,2,NA,NA,NA,NA,NA
mss,Stadtschreiber von Mainz,2,NA,NA,NA,NA,NA
nbp,Nicolas-Born-Preis,2,NA,NA,NA,NA,NA
nop,Niederösterreichischer Literaturpreis,2,NA,NA,NA,NA,NA
eins,Eins im Andern,3,NA,2015,Liebesroman,Religion/Liebe/Tod,NA
mosc,Monique Schwitter,4,1,NA,NA,NA,Schweiz
droschl,Droschl Literaturverlag,2,NA,NA,NA,NA,NA
npk,Niederrheinischer Literaturpreis der Stadt Krefeld,2,NA,NA,NA,NA,NA
npl,Nobelpreis für Literatur,2,NA,NA,NA,NA,NA
nrp,Neuruppiner Fontane Preis für Literatur,2,NA,NA,NA,NA,NA
nsilafp,Novi Sad International Literature Award for Poetry,2,NA,NA,NA,NA,NA
widerfahrnis,Widerfahrnis,3,NA,2016,Liebesroman/Reiseroman,Liebe/Europa/Neuanfang,NA
boki,Bodo Kirchhoff,4,2,NA,NA,NA,Hessen
fremde,"Fremde Seele, dunkler Wald",3,NA,2016,Familienroman,Vergangenheit/Sehnsucht/Schuld/Existenzialismus,
reka,Reinhard Kaiser-Mühlecker,4,2,NA,NA,NA,Oesterreich
nydl,New York Stipendium Deutscher Literaturfond,2,NA,NA,NA,NA,NA
oaa,Outstanding Artist Award für Literatur,2,NA,NA,NA,NA,NA
obp,Österreichischer Buchpreis,2,NA,NA,NA,NA,NA
okjp,Österreichischer Kinder- und Jugendbuchpreis,2,NA,NA,NA,NA,NA
skizze,Skizze eines Sommers,3,NA,2016,Adoleszenzroman/Entwicklungsroman,DDR/Gesellschaftsschichten/Jugend,NA
anku,Andre Kubiczek,4,2,NA,NA,DDR/Jugend,Berlin
okp,Oberschwäbischer Kunstpreis,2,NA,NA,NA,NA,NA
welt,Die Welt im Rücken,3,NA,2016,Autobiografie,Depression/Mentale Gesundheit,NA
jahr,Ein langes Jahr,3,NA,2016,Gesellschaftsroman,Gesellschaft/Alltag,NA
evsc,Eva Schmidt,4,1,NA,NA,NA,Oesterreich
omp,Open-Mike Literaturpreis,2,NA,NA,NA,NA,NA
hool,Hool,3,NA,2016,Milieuroman/Gesellschaftsroman/Entwicklungsroman,Aussenseiter/Gesellschaftsschichten/Erwachsenwerden/Wut,
phwi,Philipp Winkler,4,2,NA,NA,NA,Niedersachsen
aufbau,Aufbau-Verlag,1,NA,NA,NA,NA,NA
osp,Österreichischer Staatspreis für Kulturpublizistik,2,NA,NA,NA,NA,NA
nebenan,Nebenan,3,NA,2022,Gesellschaftsroman,Beziehungen,NA
krbi,Kristine Bilkau,4,1,NA,NA,NA,Hamburg
ospr,Otto-Stoessl-Preis,2,NA,NA,NA,NA,NA
ossl,Österreichisches Staatsstipendium für Literatur,2,NA,NA,NA,NA,NA
owpl,Österreichischer Würdigungspreis für Literatur,2,NA,NA,NA,NA,NA
mutter,Lügen über meine Mutter,3,NA,2022,Biografische Fiktion,Feminismus/Familiengeschichte,NA
dadr,Daniela Dröscher,4,1,NA,NA,NA,Berlin
pcre,Prix Cévennes du roman européen,2,NA,NA,NA,NA,NA
trottel,Trottel,3,NA,2022,Biografische Fiktion,Ostblock-Diktatur/Kommunismus/Traumabewältigung,NA
jafa,Jan Faktor,4,2,NA,NA,Untergrund-Literaturszene Ost-Berlin,Berlin
pdhpv,Ehrenpreis Deutscher Hospiz- und Palliativverband,2,NA,NA,NA,NA,NA
spitzweg,Spitzweg,3,NA,2022,Komödie,Kunst,NA
ecni,Eckhart Nickel,4,2,NA,NA,NA,NA
arge,Arno Geiger,4,2,NA,NA,NA,Oesterreich
gehtunsgut,Es geht uns gut,3,NA,2005,Familienroman,Familiengeschichte,NA
pdsf,Literaturpreis der Doppelfeld-Stiftung – Förderpreis,2,NA,NA,NA,NA,NA
pef,Preis des Europäischen Feuilletons,2,NA,NA,NA,NA,NA
peu,Literaturpreis der Europäischen Union,2,NA,NA,NA,NA,NA
pfda,Literaturpreis des Freien Deutschen Autorenverbands,2,NA,NA,NA,NA,NA
pgc,Premio Grinzane Cavour,2,NA,NA,NA,NA,NA
php,Peter-Huchel-Preis,2,NA,NA,NA,NA,NA
dake,Daniel Kehlmann,4,2,NA,NA,NA,Berlin
vermessung,Die Vermessung der Welt,3,NA,2005,Entwicklungsroman,NA,NA
pjps,Literaturpreis der Jürgen Ponto-Stiftung,2,NA,NA,NA,NA,NA
pkas,Literaturpreis der Konrad-Adenauer-Stiftung,2,NA,NA,NA,NA,NA
pkdw,Literaturpreis des Kulturkreises der deutschen Wirtschaft,2,NA,NA,NA,NA,NA
plb,Preis der Leipziger Buchmesse,2,NA,NA,NA,NA,NA
pldlf,Prix littéraire des lycées français d’Europe,2,NA,NA,NA,NA,NA
plh,Preis der Literaturhäuser,2,NA,NA,NA,NA,NA
pltn,Preis der LiteraTour Nord,2,NA,NA,NA,NA,NA
pmcds,Preis der Marianne und Curt Dienemann-Stiftung,2,NA,NA,NA,NA,NA
pmp,Premio Mondello Preis,2,NA,NA,NA,NA,NA
zweiundvierzig,Zweiundvierzig,3,NA,2005,Thriller,NA,NA
dunkle,Dunkle Gesellschaft,3,NA,2005,Gesellschaftsroman,NA,NA
gelo,Gert Loschuetz,4,2,NA,NA,NA,NA
poep,Per-Olov-Enquist-Preis,2,NA,NA,NA,NA,NA
poi,Literaturpreis der Österreichischen Industrie – Anton Wildgans,2,NA,NA,NA,NA,NA
ppl,Pfalzpreis für Literatur,2,NA,NA,NA,NA,NA
ppuw,Preis der Stadt Wien für Publizistik,2,NA,NA,NA,NA,NA
ppw,Phantastik-Preis der Stadt Wetzlar,2,NA,NA,NA,NA,NA
pr,Literaturpreis Ruhrgebiet,2,NA,NA,NA ,NA,NA
prelay,Prix Relay,2,NA,NA,NA,NA,NA
prp,Peter-Rosegger-Preis,2,NA,NA,NA,NA,NA
sosindwir,So sind wir,3,NA,2005,Familienroman,Judentum,NA
gilu,Gila Lustiger,4,1,NA,NA,NA,Frankreich
psb,Literaturpreis der Stadt Bremen,2,NA,NA,NA,NA,NA
pse,Literaturpreis der Stahlstiftung Eisenhüttenstadt,2,NA,NA,NA,NA,NA
psw,Literaturpreis der Stadt Wien,2,NA,NA,NA,NA,NA
pswr,Preis der SWR-Bestenliste,2,NA,NA,NA,NA,NA
frma,Friederike Mayroecker,4,1,NA,NA,NA,Oesterreich
liebling,Und ich schüttelte einen Liebling,3,NA,NA,Liebesroman,Traumabewältigung/Trauerbewältigung,NA
pvbm,Literaturpreis der Vorarlberger Buch- und Medienwirtschaft,2,NA,NA,NA,NA,NA
pwp,Peter-Weiss-Preis,2,NA,NA,NA,NA,NA
pws,Preis der Wirtschaftsclubs Stuttgart,2,NA,NA,NA,NA,NA
rgp,Robert-Gernhardt-Preis,2,NA,NA,NA,NA,NA
rhp,Rotahorn-Literaturpreis,2,NA,NA,NA,NA,NA
rihp,Ricarda-Huch-Preis,2,NA,NA,NA,NA,NA
kasc,Kathrin Schmid,4,1,NA,NA,NA,Berlin
stirbst,Du stirbst nicht,3,NA,NA,Entwicklungsroman,Genesung/ Krankheit/Orientierungsverlust,NA
rlp,Rheingau Literatur Preis,2,NA,NA,NA,NA,NA
rame,Rainer Merkel,4,2,NA,NA,NA,Berlin
lichtjahre,Lichtjahre entfernt,3,NA,NA,Liebesroman,Liebe,NA
rmp,Rainer-Malkowski-Preis,2,NA,NA,NA,NA,NA
roswp,Roswitha-Preis,2,NA,NA,NA,NA,NA
rp,Rauriser Literaturpreis,2,NA,NA,NA,NA,NA
rps,Rheinischer Literaturpreis Siegburg,2,NA,NA,NA,NA,NA
rsp,Reinhold-Schneider-Preis,2,NA,NA,NA,NA,NA
rwp,Robert-Walser-Preis,2,NA,NA,NA,NA,NA
sap,Stefan-Andres-Preis,2,NA,NA,NA,NA,NA
hemu,Herta Mueller,4,1,NA,NA,NA,Rumänien
atemschaukel,Atemschaukel,3,NA,2009,Historischer Roman,Krieg/ Tod,NA
sblp,Samuel-Bogumil-Linde-Preis,2,NA,NA,NA,NA,NA
schbp,Schweizer Buchpreis,2,NA,NA,NA,NA,NA
schp,fpss,2,NA,NA,NA,NA,NA
sdkp,Sudetendeutscher Kulturpreis für Literatur,2,NA,NA,NA,NA,NA
sess,Sepp-Schellhorn-Stipendium,2,NA,NA,NA,NA,NA
